community,year,n_gang_territories
ALBANY PARK,2014,4
ARCHER HEIGHTS,2014,1
ARMOUR SQUARE,2014,1
ASHBURN,2014,2
AUBURN GRESHAM,2014,7
AUSTIN,2014,41
AVALON PARK,2014,1
AVONDALE,2014,3
BELMONT CRAGIN,2014,16
BRIDGEPORT,2014,2
BRIGHTON PARK,2014,3
BURNSIDE,2014,1
CALUMET HEIGHTS,2014,3
CHATHAM,2014,7
CHICAGO LAWN,2014,3
CLEARING,2014,1
DOUGLAS,2014,3
EAST GARFIELD PARK,2014,5
EAST SIDE,2014,3
EDGEWATER,2014,3
ENGLEWOOD,2014,12
FULLER PARK,2014,2
GAGE PARK,2014,4
GARFIELD RIDGE,2014,2
GRAND BOULEVARD,2014,3
GREATER GRAND CROSSING,2014,10
HEGEWISCH,2014,1
HERMOSA,2014,4
HUMBOLDT PARK,2014,20
IRVING PARK,2014,4
KENWOOD,2014,1
LINCOLN SQUARE,2014,2
LOGAN SQUARE,2014,11
LOWER WEST SIDE,2014,8
MCKINLEY PARK,2014,3
MORGAN PARK,2014,5
NEAR NORTH SIDE,2014,3
NEAR SOUTH SIDE,2014,1
NEAR WEST SIDE,2014,7
NEW CITY,2014,11
NORTH CENTER,2014,1
NORTH LAWNDALE,2014,22
PORTAGE PARK,2014,2
PULLMAN,2014,4
RIVERDALE,2014,7
ROGERS PARK,2014,9
ROSELAND,2014,16
SOUTH CHICAGO,2014,18
SOUTH DEERING,2014,3
SOUTH LAWNDALE,2014,11
SOUTH SHORE,2014,10
UPTOWN,2014,4
WASHINGTON HEIGHTS,2014,8
WASHINGTON PARK,2014,5
WEST ELSDON,2014,1
WEST ENGLEWOOD,2014,15
WEST GARFIELD PARK,2014,6
WEST LAWN,2014,1
WEST PULLMAN,2014,11
WEST RIDGE,2014,2
WEST TOWN,2014,11
WOODLAWN,2014,7
OAKLAND,2014,NA
HYDE PARK,2014,NA
JEFFERSON PARK,2014,NA
FOREST GLEN,2014,NA
NORTH PARK,2014,NA
DUNNING,2014,NA
MONTCLARE,2014,NA
NORWOOD PARK,2014,NA
LOOP,2014,NA
LAKE VIEW,2014,NA
LINCOLN PARK,2014,NA
BEVERLY,2014,NA
MOUNT GREENWOOD,2014,NA
OHARE,2014,NA
EDISON PARK,2014,NA
