"","community_area","avg_in_2_mi_radius"
"1","ALBANY PARK",60.33
"2","ARCHER HEIGHTS",23.6
"3","ARMOUR SQUARE",77.62
"4","AUBURN GRESHAM",19.4
"5","AUSTIN",29.57
"6","AVALON PARK",36
"7","AVONDALE",78.18
"8","BELMONT CRAGIN",34.69
"9","BEVERLY",13.5
"10","BRIDGEPORT",60.4
"11","BRIGHTON PARK",37.62
"12","BURNSIDE",31
"13","CALUMET HEIGHTS",31.67
"14","CHATHAM",34.36
"15","CHICAGO LAWN",27.43
"16","DOUGLAS",48.82
"17","DUNNING",16.36
"18","EAST GARFIELD PARK",67.5
"19","EAST SIDE",9.8
"20","EDGEWATER",54.12
"21","ENGLEWOOD",37.08
"22","FULLER PARK",46.33
"23","GAGE PARK",35.57
"24","GARFIELD RIDGE",9
"25","GRAND BOULEVARD",44.62
"26","GREATER GRAND CROSSING",41.92
"27","HEGEWISCH",4.6
"28","HERMOSA",48
"29","HUMBOLDT PARK",57.78
"30","HYDE PARK",38.92
"31","IRVING PARK",57.24
"32","KENWOOD",36.67
"33","LAKE VIEW",98.82
"34","LINCOLN PARK",112.44
"35","LINCOLN SQUARE",77.44
"36","LOGAN SQUARE",87.76
"37","LOOP",149.5
"38","LOWER WEST SIDE",89.4
"39","MCKINLEY PARK",46
"40","MONTCLARE",23
"41","MORGAN PARK",13.6
"42","MOUNT GREENWOOD",5.75
"43","NEAR NORTH SIDE",149.62
"44","NEAR SOUTH SIDE",96.87
"45","NEAR WEST SIDE",148.59
"46","NEW CITY",42.23
"47","NORTH CENTER",104
"48","NORTH LAWNDALE",56.19
"49","NORTH PARK",42
"50","PORTAGE PARK",30.6
"51","PULLMAN",20.33
"52","RIVERDALE",4.67
"53","ROGERS PARK",32.59
"54","ROSELAND",20.9
"55","SOUTH CHICAGO",22.14
"56","SOUTH DEERING",17.17
"57","SOUTH LAWNDALE",46.33
"58","SOUTH SHORE",33.3
"59","UPTOWN",67.21
"60","WASHINGTON HEIGHTS",20.5
"61","WASHINGTON PARK",49
"62","WEST ELSDON",23.5
"63","WEST ENGLEWOOD",34
"64","WEST GARFIELD PARK",45
"65","WEST LAWN",18.25
"66","WEST PULLMAN",13.25
"67","WEST RIDGE",46
"68","WEST TOWN",120.97
"69","WOODLAWN",42.09
"70",NA,15.36
