year,community,num_stations_in_comm,season,peak_hour,avg_seasonal_emptiness,avg_seasonal_bike_avail
2013,ARMOUR SQUARE,1,Fall,No,58.96924190338339,6.1496290935408
2013,ARMOUR SQUARE,1,Fall,Yes,54.498797639000216,6.8205931647598925
2013,ARMOUR SQUARE,1,Summer,No,59.68015619453319,6.042598509052183
2013,ARMOUR SQUARE,1,Summer,Yes,59.14739342417802,6.130391298912364
2013,ARMOUR SQUARE,1,Winter,No,63.05293551491819,5.537054860442733
2013,ARMOUR SQUARE,1,Winter,Yes,61.76019184652278,5.72501998401279
2013,KENWOOD,1,Fall,No,61.13135516555093,5.67640673059526
2013,KENWOOD,1,Fall,Yes,64.75923631858923,5.156088318880712
2013,KENWOOD,1,Summer,No,68.82738944365192,4.696148359486448
2013,KENWOOD,1,Summer,Yes,71.82522239665097,4.224489795918367
2013,KENWOOD,1,Winter,No,69.91530317613089,4.524542829643888
2013,KENWOOD,1,Winter,Yes,71.4740207833733,4.286171063149481
2013,LAKE VIEW,4,Fall,No,65.10091717387036,8.196224721622304
2013,LAKE VIEW,4,Fall,Yes,68.31249574704562,7.402862521831833
2013,LAKE VIEW,4,Summer,No,50.681222873676994,11.84729307850453
2013,LAKE VIEW,4,Summer,Yes,60.226496081526406,9.612361884190413
2013,LAKE VIEW,4,Winter,No,77.18896374719282,5.459416105229387
2013,LAKE VIEW,4,Winter,Yes,72.19078070876633,6.620037303490541
2013,LINCOLN PARK,4,Fall,No,49.24097774362309,8.189371323855408
2013,LINCOLN PARK,4,Fall,Yes,55.56337961201978,7.178204640547737
2013,LINCOLN PARK,4,Summer,No,37.08974035795311,10.472460297453996
2013,LINCOLN PARK,4,Summer,Yes,50.040276931115564,8.292493041057758
2013,LINCOLN PARK,4,Winter,No,65.04547641963427,5.556785370548605
2013,LINCOLN PARK,4,Winter,Yes,64.18365307753797,5.697042366107114
2013,LOGAN SQUARE,2,Fall,No,49.336394065496656,7.601682648814909
2013,LOGAN SQUARE,2,Fall,Yes,62.80499890694455,5.581760547985135
2013,LOGAN SQUARE,2,Summer,No,45.50576498897132,8.174804491678364
2013,LOGAN SQUARE,2,Summer,Yes,60.42161825117371,5.935225938967136
2013,LOGAN SQUARE,2,Winter,No,67.38354186717999,4.857555341674687
2013,LOGAN SQUARE,2,Winter,Yes,67.00319744204636,4.9200639488409275
2013,LOWER WEST SIDE,2,Fall,No,53.954134250045236,6.9036095531029495
2013,LOWER WEST SIDE,2,Fall,Yes,59.9801428259127,6.002696203454056
2013,LOWER WEST SIDE,2,Summer,No,48.60107896608964,7.715318947118805
2013,LOWER WEST SIDE,2,Summer,Yes,58.13630350360602,6.2856228395852005
2013,LOWER WEST SIDE,2,Winter,No,68.47690086621752,4.726179018286814
2013,LOWER WEST SIDE,2,Winter,Yes,71.08992805755396,4.342525979216627
2013,NEAR NORTH SIDE,4,Fall,No,67.24696942283336,7.596639225619685
2013,NEAR NORTH SIDE,4,Fall,Yes,59.550116592581794,9.265065947679078
2013,NEAR NORTH SIDE,4,Summer,No,63.14942255737316,8.504230620787935
2013,NEAR NORTH SIDE,4,Summer,Yes,57.79290381627397,9.696869080305643
2013,NEAR NORTH SIDE,4,Winter,No,65.15760346487006,7.901106833493744
2013,NEAR NORTH SIDE,4,Winter,Yes,62.412669864108715,8.501998401278977
2013,NEAR WEST SIDE,5,Fall,No,68.16006875339244,5.468174416500814
2013,NEAR WEST SIDE,5,Fall,Yes,63.049420680609195,6.3575748742986224
2013,NEAR WEST SIDE,5,Summer,No,57.79324459937675,7.175302382084191
2013,NEAR WEST SIDE,5,Summer,Yes,57.29018518518519,7.2888518518518515
2013,NEAR WEST SIDE,5,Winter,No,65.56265640038498,5.912608277189605
2013,NEAR WEST SIDE,5,Winter,Yes,64.41262989608313,6.1394084732214225
2013,WEST TOWN,2,Fall,No,49.17654242808033,7.6210421566853626
2013,WEST TOWN,2,Fall,Yes,64.4504845879181,5.328536034394812
2013,WEST TOWN,2,Summer,No,41.61904761904762,8.717182300012325
2013,WEST TOWN,2,Summer,Yes,59.724579879005155,6.039256105758459
2013,WEST TOWN,2,Winter,No,53.407603464870064,6.978825794032724
2013,WEST TOWN,2,Winter,Yes,67.55595523581135,4.853717026378897
